Model,Accuracy,Precision,Recall,F1,ROC-AUC
Decision Tree,0.7459190915542938,0.5140350877192983,0.7834224598930482,0.6207627118644068,0.8162029502182955
Random Forest,0.7565649396735273,0.5286506469500925,0.7647058823529411,0.6251366120218579,0.8394068562866518
XGBoost,0.7452093683463449,0.5130434782608696,0.7887700534759359,0.6217070600632244,0.8412604303908652
LightGBM,0.758694109297374,0.5309090909090909,0.7807486631016043,0.6320346320346321,0.8411713038311504
